Date,Data Type Available,Depth,Location,Dummy,Year
2013-05-29,Temp,,,1,2013
2013-05-29,Temp,,,1,2013
2013-05-29,Temp,,,1,2013
2013-05-29,Temp,,,1,2013
2013-05-29,Temp,,,1,2013
2013-05-29,Temp,,,1,2013
2013-05-29,Temp,,,1,2013
2013-05-29,Temp,,,1,2013
2013-05-29,Temp,,,1,2013
2013-05-29,Temp,,,1,2013
2013-05-29,Temp,,,1,2013
2013-05-29,Temp,,,1,2013
2013-05-29,Temp,,,1,2013
2013-06-05,Temp,,,1,2013
2013-06-05,Temp,,,1,2013
2013-06-05,Temp,,,1,2013
2013-06-05,Temp,,,1,2013
2013-06-05,Temp,,,1,2013
2013-06-05,Temp,,,1,2013
2013-06-27,Temp,,,1,2013
2013-06-27,Temp,,,1,2013
2013-06-27,Temp,,,1,2013
2013-06-27,Temp,,,1,2013
2013-06-27,Temp,,,1,2013
2013-06-27,Temp,,,1,2013
2013-06-27,Temp,,,1,2013
2013-06-27,Temp,,,1,2013
2013-06-27,Temp,,,1,2013
2013-06-27,Temp,,,1,2013
2013-06-27,Temp,,,1,2013
2013-06-27,Temp,,,1,2013
2013-06-27,Temp,,,1,2013
2013-05-29,Temp,,,1,2013
2013-06-05,Temp,,,1,2013
2010-08-12,Temp,,,1,2010
2013-05-01,Temp,,,1,2013
2013-05-01,Temp,,,1,2013
2013-06-05,Temp,,,1,2013
2013-05-29,Temp,,,1,2013
2013-05-01,Temp,,,1,2013
2013-05-29,Temp,,,1,2013
2013-05-29,Temp,,,1,2013
2013-06-05,Temp,,,1,2013
2013-06-05,Temp,,,1,2013
2013-06-05,Temp,,,1,2013
2013-06-05,Temp,,,1,2013
2013-05-22,Temp,,,1,2013
2010-07-22,Temp,,,1,2010
2013-05-15,Temp,,,1,2013
2013-06-05,Temp,,,1,2013
2013-05-01,Temp,,,1,2013
2013-05-01,Temp,,,1,2013
2013-06-05,Temp,,,1,2013
2013-06-05,Temp,,,1,2013
2013-05-01,Temp,,,1,2013
2013-06-05,Temp,,,1,2013
2010-07-15,Temp,,,1,2010
2013-06-05,Temp,,,1,2013
2013-05-15,Temp,,,1,2013
2013-05-01,Temp,,,1,2013
2013-04-24,Temp,,,1,2013
2011-07-08,Temp,,,1,2011
2013-06-05,Temp,,,1,2013
2013-06-05,Temp,,,1,2013
2010-08-12,Temp,,,1,2010
2013-05-08,Temp,,,1,2013
2010-07-15,Temp,,,1,2010
2010-07-08,Temp,,,1,2010
2013-06-05,Temp,,,1,2013
2010-07-08,Temp,,,1,2010
2010-07-08,Temp,,,1,2010
2011-07-08,Temp,,,1,2011
2010-07-08,Temp,,,1,2010
2010-08-12,Temp,,,1,2010
2013-01-10,Temp,,,1,2013
2010-07-08,Temp,,,1,2010
2010-07-08,Temp,,,1,2010
2010-07-08,Temp,,,1,2010
2010-07-08,Temp,,,1,2010
2010-07-08,Temp,,,1,2010
2010-07-15,Temp,,,1,2010
2010-07-15,Temp,,,1,2010
2010-08-12,Temp,,,1,2010
2010-08-12,Temp,,,1,2010
2010-08-12,Temp,,,1,2010
2010-08-12,Temp,,,1,2010
2011-07-14,Temp,,,1,2011
2011-07-14,Temp,,,1,2011
2011-07-22,Temp,,,1,2011
2011-08-05,Temp,,,1,2011
2011-08-05,Temp,,,1,2011
2013-01-10,Temp,,,1,2013
2013-01-10,Temp,,,1,2013
2013-01-10,Temp,,,1,2013
2013-01-10,Temp,,,1,2013
2013-01-10,Temp,,,1,2013
2013-01-10,Temp,,,1,2013
2013-01-10,Temp,,,1,2013
2013-01-10,Temp,,,1,2013
2013-01-10,Temp,,,1,2013
2013-01-24,Temp,,,1,2013
2013-01-24,Temp,,,1,2013
2013-04-24,Temp,,,1,2013
2013-04-24,Temp,,,1,2013
2013-04-24,Temp,,,1,2013
2013-05-08,Temp,,,1,2013
2013-05-29,Temp,,,1,2013
2013-06-05,Temp,,,1,2013
2013-06-05,Temp,,,1,2013
2013-06-05,Temp,,,1,2013
2013-06-05,Temp,,,1,2013
2013-06-05,Temp,,,1,2013
2013-06-05,Temp,,,1,2013
2013-06-12,Temp,,,1,2013
2013-06-12,Temp,,,1,2013
2013-06-12,Temp,,,1,2013
2013-06-12,Temp,,,1,2013
2013-06-12,Temp,,,1,2013
2013-06-12,Temp,,,1,2013
2013-06-12,Temp,,,1,2013
2013-06-12,Temp,,,1,2013
2013-06-12,Temp,,,1,2013
2013-06-12,Temp,,,1,2013
2013-06-12,Temp,,,1,2013
2013-06-12,Temp,,,1,2013
2013-06-12,Temp,,,1,2013
2013-06-12,Temp,,,1,2013
2013-06-12,Temp,,,1,2013
2013-06-12,Temp,,,1,2013
2013-06-12,Temp,,,1,2013
2013-06-12,Temp,,,1,2013
2013-06-27,Temp,,,1,2013
2013-06-27,Temp,,,1,2013
2013-06-12,Temp,,,1,2013
2011-07-29,Temp,,,1,2011
2013-01-10,Temp,,,1,2013
2010-07-08,Temp,,,1,2010
2013-06-12,Temp,,,1,2013
2013-06-12,Temp,,,1,2013
2010-07-08,Temp,,,1,2010
2011-07-08,Temp,,,1,2011
2011-07-14,Temp,,,1,2011
2010-07-15,Temp,,,1,2010
2010-07-22,Temp,,,1,2010
2011-07-22,Temp,,,1,2011
2010-07-15,Temp,,,1,2010
2013-01-17,Temp,,,1,2013
2013-06-12,Temp,,,1,2013
2013-01-10,Temp,,,1,2013
2013-06-27,Temp,,,1,2013
2013-04-10,Temp,,,1,2013
2013-01-17,Temp,,,1,2013
2010-07-15,Temp,,,1,2010
2010-07-15,Temp,,,1,2010
2010-07-15,Temp,,,1,2010
2010-07-15,Temp,,,1,2010
2010-07-15,Temp,,,1,2010
2010-08-12,Temp,,,1,2010
2010-08-12,Temp,,,1,2010
2010-08-12,Temp,,,1,2010
2010-08-12,Temp,,,1,2010
2010-08-12,Temp,,,1,2010
2010-08-12,Temp,,,1,2010
2010-08-12,Temp,,,1,2010
2010-08-12,Temp,,,1,2010
2010-08-18,Temp,,,1,2010
2010-08-18,Temp,,,1,2010
2010-08-18,Temp,,,1,2010
2010-08-18,Temp,,,1,2010
2010-08-18,Temp,,,1,2010
2010-08-18,Temp,,,1,2010
2010-08-18,Temp,,,1,2010
2010-08-18,Temp,,,1,2010
2010-08-18,Temp,,,1,2010
